ticker,price,change_pct,volume,avg_volume,market_cap,float
AACG,0.84,-0.3144,8232.0,,,5976213.0
AAOG,2.3,13.0221,2986947.0,,,
ABTC,10.11,14.496,4925092.0,,,23343815.0
ABTS,1.31,-8.0508,322618.0,,,2959048.0
ABVC,1.14,-0.8696,199552.0,,,21065557.0
ACH,0.9282,-9.8835,3873726.0,,,56518805.0
ACTU,0.9812,-1.4068,113077.0,,,
ACXP,1.392,0.1439,56923.0,,,5141335.0
ADBT,0.1341,-5.8287,38975262.0,,,50625609.0
ADCT,1.05,-0.9434,1577323.0,,,
ADGM,0.481,-7.5,97110.0,,,8408880.0
AEI,0.8114,-16.4367,629588.0,,,3698993.0
AEMD,6.43,-5.1622,2450827.0,,,706407.0
AEON,0.2421,-1.7052,2089572.0,,,
AERT,7.08,2.4602,3487.0,,,
AGMH,0.7247,-12.6867,2536275.0,,,3454390.0
AGRZ,0.2336,-1.6007,489687.0,,,
AHMA,1.3,0.7752,44873.0,,,2144956.0
AIB,1.43,2.1429,2130992.0,,,
AIDX,0.4651,-1.3574,28818.0,,,
AIFU,11.21,3.8925,13395.0,,,
AIIO,1.62,5.8824,413979.0,,,50138705.0
AIM,0.2101,-3.3134,1764796.0,,,27686821.0
AIMD,1.47,-1.3423,51636.0,,,2898987.0
AIRE,1.3604,-0.7007,71277.0,,,4452454.0
AIXC,1.11,6.7308,548228.0,,,18558726.0
ALAR,2.11,-0.4717,42341.0,,,
ALEC,1.9,2.7027,2117816.0,,,94313250.0
ALIT,11.77,-4.2311,731572.0,,,
ALLR,1.22,5.1724,185434.0,,,15793670.0
ALP,4.63,2.8889,55542.0,,,20919358.0
ALPS,0.4,0.025,42936.0,,,3000000.0
ALXO,1.69,-2.8736,5063196.0,,,94732188.0
AMBR,1.9195,30.5782,1062379.0,,,20719326.0
AMDD,25.2,-2.3256,655592.0,,,
AMOD,1.9,-3.0612,67714.0,,,
AMSS,0.6746,-0.0741,49481.0,,,
AMZE,0.1415,0.0,109174922.0,,,20505351.0
ANVS,1.16,5.4545,677302.0,,,35319648.0
APRE,0.7599,1.32,79984.0,,,7910129.0
APUS,1.89,13.1737,1334263.0,,,2047328.0
APVO,1.84,0.0,40797.0,,,1696320.0
AQB,1.14,0.885,30561.0,,,5120387.0
ARAI,0.25,0.0801,5422798.0,,,
ARAY,0.2319,-3.7759,506883.0,,,
ARBE,0.6755,0.8209,996404.0,,,101467044.0
ASPSZ,0.17,6.25,597.0,,,
ATCH,0.1812,5.1044,2314004.0,,,148538231.0
ATER,0.6999,1.5083,217020.0,,,13768639.0
ATTT,2.96,7.6364,59953.0,,,5874743.0
AUID,0.4313,-11.5101,114936.0,,,
AURE,1.5,-3.2258,2271.0,,,
AUTL,1.9399,1.0365,1768208.0,,,33904120.0
AUUD,1.04,0.0,279564.0,,,
AVAT,1.07,21.4529,2163747.0,,,25546730.0
AVX,3.88,4.7233,145411.0,,,
AXTL,2.84,7.1698,783165.0,,,
AZI,1.17,-0.8475,52484.0,,,4397327.0
AZIO,1.35,5.0584,171640.0,,,13675066.0
BAER,0.9455,2.3601,920869.0,,,44437854.0
BANL,5.51,-3.5026,24878.0,,,406582.0
BAOS,0.2753,-3.6402,665443.0,,,1034490.0
BATL,1.21,-1.626,3392827.0,,,
BBLG,0.4667,-6.6413,119682.0,,,2755396.0
BCDA,1.1793,6.2432,169913.0,,,8168190.0
BCTXZ,0.1703,13.5333,10740.0,,,
BDRX,0.7195,-10.0513,561097.0,,,594400.0
BDTX,1.96,1.5544,1178325.0,,,
BEAT,0.4211,0.3262,285760.0,,,
BEEM,1.32,-2.2222,326138.0,,,22098037.0
BENF,0.6354,1.0175,63270167.0,,,1182724.0
BGIN,1.8,-2.1739,5074.0,,,43350299.0
BGL,0.23,-0.9901,280934.0,,,
BGM,0.27,4.2471,38643.0,,,
BGMS,0.937,6.6955,70865.0,,,5310620.0
BIOT,0.4548,1.1791,1677524.0,,,28794472.0
BIOX,0.3603,-2.0924,809132.0,,,44923321.0
BIRD,2.3536,-3.541,735147.0,,,5612831.0
BIVI,1.63,-8.427,404095.0,,,7477922.0
BJDX,0.93,10.0592,875590.0,,,4377260.0
BMEA,1.8459,3.1229,1629556.0,,,
BMRA,2.51,6.3559,75411.0,,,3972715.0
BNGO,1.74,0.0,1194927.0,,,10636515.0
BQ,0.7919,-2.2346,27778.0,,,
BRAG,1.475,-0.3378,4957.0,,,
BRIA,1.4,0.7194,4387.0,,,20279875.0
BRLS,1.37,-1.4388,4796.0,,,6468397.0
BRNX,2.43,-6.1776,211971.0,,,23787.0
BTCS,1.63,17.2662,3849691.0,,,41632287.0
BTCT,1.25,7.7586,29188508.0,,,9168463.0
BTMD,1.36,0.7407,147427.0,,,16686629.0
BTTC,0.5774,52.7917,43090633.0,,,
BURU,1.03,9.5745,885940.0,,,
BYND,11.5,-1.7094,1139597.0,,,16660937.0
BYSI,0.7498,5.7844,45279.0,,,31950100.0
BZAI,0.6404,4.0962,6553735.0,,,98685655.0
CABR,1.4,3.7037,34170.0,,,
CALC,1.91,-3.0457,60237.0,,,3790863.0
CAN,0.38,19.0476,39694453.0,,,
CAST,1.4,-1.4085,1034781.0,,,21373718.0
CBAT,1.1,3.7736,750736.0,,,69352956.0
CBUS,1.61,-1.227,139149.0,,,
CCG,12.97,7.1901,79709.0,,,904385.0
CCHH,1.24,5.0847,125196.0,,,1637009.0
CCO,2.38,0.0,15654435.0,,,385297495.0
CDIO,2.02,-0.4926,71618.0,,,2837687.0
CDLX,3.75,-3.599,21218.0,,,
CDT,0.17,-10.2902,17913755.0,,,385437.0
CDTG,1.2207,-4.6328,144075.0,,,2766994.0
CDXS,1.36,3.0303,2875788.0,,,82348335.0
CELU,1.31,3.1496,188245.0,,,
CELZ,0.9525,8.547,167747.0,,,6557287.0
CETX,2.02,-10.6195,140013.0,,,
CGTL,3.74,-2.9831,6268.0,,,
