ticker,price,change_pct,volume,avg_volume,market_cap,float
AACG,0.8901,-1.089,3052.0,231114.0,38459664.0,5976213.0
ABTC,7.99,-14.454,4755324.0,1608162.0,973339456.0,23343815.0
ABTS,1.51,-1.9481,7132.0,163283.0,4853812.0,2959048.0
ACCL,2.74,-2.1429,3930.0,72811.0,38222728.0,
ACH,1.21,-0.8197,339164.0,1157172.0,93054696.0,56518805.0
ACTU,1.48,8.0292,1322945.0,383941.0,35541020.0,
ACXP,1.42,1.4286,47678.0,123959.0,6102788.0,
ADBT,0.3334,-2.9968,55750968.0,21963955.0,,50625609.0
ADCT,1.36,3.0303,1478014.0,1607675.0,173628064.0,
ADGM,0.564,4.3092,297596.0,8302353.0,12526700.0,8408880.0
AEMD,1.82,-5.6995,165472.0,1075119.0,1294267.0,706407.0
AEON,0.2408,-5.4574,758576.0,2651243.0,12011776.0,
AERT,7.18,-0.8287,6507.0,37604.0,38721992.0,
AGRZ,0.2212,1.7948,289960.0,4238861.0,4794175.0,
AHMA,1.29,-6.5217,28560.0,3004956.0,38345248.0,2144956.0
AIB,1.28,1.5873,699925.0,1202730.0,,
AIDX,0.5915,-2.296,131061.0,639098.0,7553634.0,
AIFU,18.755,-19.1595,93031.0,25042.0,111136608.0,
AIIO,1.84,3.3708,905970.0,1589301.0,219025456.0,50138705.0
AIM,0.2276,-2.6102,8451417.0,5175827.0,8081616.0,27686821.0
AIRE,1.5,-4.4586,40270.0,121267.0,9006267.0,4452454.0
AIXC,0.7094,1.9106,109441.0,1298562.0,14974642.0,18558726.0
AIXI,3.3005,,1008275.0,874184.0,3038400.0,866043.0
ALAR,1.39,5.303,59365.0,222380.0,10214868.0,
ALEC,2.46,-1.992,496601.0,1029827.0,274676032.0,94313250.0
ALIT,14.92,0.2015,398126.0,929021.0,552966464.0,
ALPS,0.38,0.0,48642.0,124491.0,63232120.0,3000000.0
ALXO,2.01,-0.9852,301115.0,1271020.0,277936768.0,94732188.0
AMBR,0.9096,-3.2134,287773.0,394077.0,85752768.0,20719326.0
AMDD,29.77,-4.6139,336632.0,1175845.0,,
AMOD,2.17,-1.3636,113704.0,120914.0,10777995.0,
AMSS,0.795,-4.2169,29909.0,274120.0,9226040.0,
AMZE,0.174,-1.1364,5019214.0,4238026.0,1278595.0,
ANVS,1.39,0.7246,1532583.0,854232.0,59222552.0,35319648.0
APRE,0.7943,-1.4883,90483.0,230419.0,10001140.0,7910129.0
APVO,1.74,1.7544,272973.0,100917.0,3149774.0,1696320.0
AQB,1.15,-2.5424,52022.0,504730.0,5919284.0,5120387.0
ARAI,0.239,-4.0161,374658.0,595309.0,12398413.0,
ARAY,0.2668,0.3007,291811.0,1352206.0,31866404.0,
AREB,0.151,0.0,11139.0,1143977.0,4301967.0,
AREN,1.12,19.1489,16481235.0,427998.0,53323932.0,13144349.0
ASPSZ,0.1847,8.5832,3207.0,,,
ATCH,0.1896,-0.9922,545815.0,1945464.0,28504044.0,148538231.0
ATER,0.6259,1.2783,48498239.0,1080475.0,11245488.0,13768639.0
AUID,0.4045,1.125,192184.0,523869.0,6763377.0,
AURE,1.4723,-2.1272,2906.0,49817.0,55358480.0,
AUTL,2.24,-2.1834,1836156.0,1931362.0,596204096.0,33904120.0
AUUD,1.0,0.0,118970.0,3108638.0,5803050.0,
AVX,3.65,0.2747,37488.0,34592.0,27000448.0,
AVXX,4.52,-3.8298,785999.0,594577.0,,
AWR,88.53,-1.2493,163223.0,309935.0,3508941824.0,
AXTX,6.04,18.8976,17581741.0,8236314.0,,
AZI,1.24,-2.3622,93040.0,8613062.0,6364010.0,4397327.0
AZIO,1.19,2.5862,114809.0,667658.0,19596740.0,13675066.0
BAER,1.115,2.2936,610906.0,930970.0,65591148.0,44437854.0
BANL,9.01,-40.7237,214259.0,117756.0,19023678.0,406582.0
BAOS,0.3261,16.1739,123322332.0,5012182.0,500396.0,1034490.0
BATL,1.29,-0.7692,2226859.0,14872129.0,73893976.0,
BBLG,0.5684,1.8638,14908.0,339659.0,1566542.0,2755396.0
BCAB,1.735,0.0,1031528.0,77674.0,2890683.0,1376165.0
BCLI,1.05,-1.8692,5033.0,28917.0,11586513.0,10095936.0
BCTXZ,0.185,-2.3747,5623.0,,,
BDRX,0.848,6.2124,105074.0,484174.0,872647.0,594400.0
BDTX,2.12,0.9524,324716.0,1182716.0,121479760.0,
BEAT,0.4268,1.5949,491525.0,693229.0,24049828.0,
BEEM,1.41,-0.7042,355574.0,2116388.0,31304236.0,22098037.0
BGICF,0.27,-12.9032,6715.0,344767.0,5320424.0,2918351.0
BGIN,2.015,-0.7389,5188.0,38298.0,227968944.0,43350299.0
BGL,0.19,-4.6663,247356.0,781467.0,8227327.0,
BGM,0.285,0.7067,14757.0,400712.0,114177656.0,
BIOX,0.4339,3.5067,70281.0,274417.0,27689716.0,44923321.0
BJDX,0.8324,-1.9437,92004.0,4924145.0,861296.0,
BMEA,2.03,6.2827,3291010.0,1134124.0,146767856.0,
BMRA,2.31,4.0541,54603.0,68233.0,10600516.0,3972715.0
BNBX,0.14,-17.6471,49.0,185875.0,867611.0,
BQ,0.8904,0.3607,43209.0,3180377.0,6570808.0,
BRAG,1.34,0.0,15132.0,29775.0,41624964.0,
BRIA,1.4,-4.7619,3936.0,67266.0,35000000.0,20279875.0
BRLS,1.31,8.2645,50875.0,841758.0,28116932.0,6468397.0
BRNX,2.24,-26.3158,3914152.0,980545.0,1614789.0,23787.0
BRTX,0.148,2.9923,690505.0,22626.0,204406.0,
BTCS,1.44,-4.0,2011988.0,1464758.0,71721264.0,41632287.0
BTCT,1.76,-8.3333,2973044.0,10993717.0,29877766.0,9168463.0
BTMD,1.545,-0.3226,77395.0,327625.0,52374324.0,16686629.0
BTOG,2.21,-4.7414,1903633.0,583183.0,1839142.0,
BTTC,0.4203,-2.2785,66714.0,1327196.0,5757565.0,
BYND,11.79,4.614,1157279.0,1322450.0,202716832.0,16660937.0
BYSI,0.6181,-0.659,26549.0,687383.0,25416160.0,31950100.0
BZAI,0.4603,-8.1238,1458046.0,4892949.0,66666184.0,98685655.0
CABR,1.26,-1.2539,5261.0,71359.0,13063965.0,
CALC,2.17,-1.3636,94132.0,272484.0,14817394.0,3790863.0
CAN,0.36,-8.4668,25701860.0,15026609.0,268381584.0,
CAST,1.37,-1.4388,391391.0,13039037.0,65186056.0,21373718.0
CBAT,0.9835,-4.5146,474623.0,329774.0,87183184.0,69352956.0
CBUS,1.59,0.6329,73948.0,279466.0,121522048.0,
CCG,16.02,2.7582,41949.0,89566.0,40136924.0,904385.0
CCHH,1.25,1.626,41736.0,777040.0,23554660.0,1637009.0
CCO,2.38,0.0,3801687.0,9121396.0,1211643392.0,385297495.0
CCTG,0.6224,-9.7971,104867.0,5114553.0,8452308.0,3008949.0
CDIO,1.86,1.6393,10008.0,58750.0,5504612.0,2837687.0
CDLX,3.62,-0.5495,7185.0,54579.0,21317152.0,
CDT,0.6251,-16.5643,738820.0,759018.0,8560036.0,385437.0
CDTG,1.32,46.7156,87123019.0,4161072.0,3987755.0,2766994.0
CDXS,1.46,2.8169,757840.0,1156262.0,159878432.0,82348335.0
CELU,1.68,-8.1967,351362.0,4013400.0,48629212.0,
CELZ,1.11,4.717,151646.0,9826230.0,7317738.0,6557287.0
CETX,2.5,-1.5748,18112.0,503745.0,4302852.0,
CGTL,4.34,-0.9132,12797.0,638357.0,7461567.0,
CHAI,0.2701,-9.9667,1390275.0,13353722.0,6986635.0,8216706.0
CHGG,0.8513,-13.0262,2315806.0,1333923.0,94517696.0,
CHMI,2.96,0.339,179325.0,336464.0,110938152.0,36409809.0
CHOW,0.481,1.7774,84278.0,11825177.0,17070690.0,11033841.0
CHR,1.78,-2.1978,33813.0,139462.0,3284906.0,
CHSN,1.0,-0.9901,13433.0,1080432.0,2319087.0,
CIGL,0.4119,2.7438,33043.0,4588291.0,93495320.0,34910365.0
CIRC,0.6556,-0.2131,244515.0,12596554.0,60592520.0,
CISS,1.49,7.971,741251.0,998668.0,408858.0,11792.0
CJMB,2.11,0.0,105924.0,2296075.0,12137496.0,2340178.0
CLDI,1.385,2.5926,17271.0,290633.0,3579094.0,2564822.0
CLGN,3.55,4.0445,237686.0,338362.0,6712414.0,856092.0
CMMB,2.71,-4.2403,118507.0,150619.0,19857958.0,
